name	data type	format
slog	uint8	array
json_string	uint8	array
types	uint8	array
d1	int32	array
obj__child_count_object	int32	array
obj__next_sibling_index_object	int32	array
obj__object_depths	uint8	array
obj__n_objects_at_depth	int32	fixed-array
obj__unique_object_first_md_indices	int32	array
obj__object_ids	int32	array
obj__objects	cell	array
arr__child_count_array	int32	array
arr__next_sibling_index_array	int32	array
arr__array_depths	uint8	array
arr__array_types	uint8	array
key__key_p	uint64	array
key__key_sizes	int32	array
key__next_sibling_index_key	int32	array
string_p	uint64	array
string_sizes	int32	array
numeric_p	double	array
strings	cell	array
arr__n_arrays_at_depth	int32	fixed-array
buffer_added	int32	scalar
alloc__n_tokens_allocated	int32	scalar
alloc__n_objects_allocated	int32	scalar
alloc__n_arrays_allocated	int32	scalar
alloc__n_keys_allocated	int32	scalar
alloc__n_strings_allocated	int32	scalar
alloc__n_numbers_allocated	int32	scalar
alloc__n_data_allocations	int32	scalar
alloc__n_object_allocations	int32	scalar
alloc__n_array_allocations	int32	scalar
alloc__n_key_allocations	int32	scalar
alloc__n_string_allocations	int32	scalar
alloc__n_numeric_allocations	int32	scalar
obj__max_keys_in_object	int32	scalar
obj__n_unique_objects	int32	scalar
time__elapsed_read_time	double	scalar
time__c_parse_time	double	scalar
time__parsed_data_logging_time	double	scalar
time__total_elapsed_parse_time	double	scalar
time__object_parsing_time	double	scalar
time__object_init_time	double	scalar
time__array_parsing_time	double	scalar
time__number_parsing_time	double	scalar
time__string_memory_allocation_time	double	scalar
time__string_parsing_time	double	scalar
time__total_elapsed_pp_time	double	scalar
time__total_elapsed_time_mex	double	scalar
